Territorio;Anual;Puestos de trabajo totales;Estructura porcentual;Tasas de variación;;;;;;
Sevilla;2008;816.405;24,579207094;;;;;;;
Sevilla;2009;763.411;24,558506566;-6,491141039;;;;;;
Sevilla;2010;752.405;24,758658974;-1,441687374;;;;;;
Sevilla;2011;727.863;24,644108323;-3,261807138;;;;;;
Sevilla;2012;684.964;24,379092388;-5,893828921;;;;;;
Sevilla;2013;661.126;24,192965251;-3,4801829;;;;;;
Sevilla;2014;678.894;24,214104653;2,687536113;;;;;;
Sevilla;2015;711.040;24,261838412;4,735054368;;;;;;
Sevilla;2016;718.534;23,994627595;1,053949145;;;;;;
Sevilla;2017;746.091;24,025198264;3,835169943;;;;;;
Sevilla;2018;755.074;23,823269488;1,204008626;;;;;;
Sevilla;2019;779.155;23,877593299;3,189223838;;;;;;
Sevilla;2020;;;;;;;;;
Sevilla;2021;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
